walletAddress,pendingPoints,userPosition
0xBfCdC2f21dfD9Ac76beb1f986E156ee73c93f889,64916,1
0xC45CD31c4B09a16B294e66aC73c89D4f70bEe349,57816,2
0x0209982066a02dD4968b82Ddd8833195b95cc8db,54402,3
0x6B855dCe6C4b644Fc8438eEa2C79fc93C30C211c,50912,4
0xB875F61b76b90dc4a01f12991aF4f611e418ce93,46684,5
0xe2d57320b62a8cA760338CB38B1A6ece4B7adc39,39478,6
0x5222DF4a999F3D03efD00d010233Bac76C16B586,34616,7
0x851418f4C60589f9F84Dc73db12275860A27ae7f,27387,8
0xDa5F504382A1A147c1bd81e640eA5FfA7280AF79,26526,9
0x0452B119a96dc377c9804C5abf318fd30B1B5465,26508,10
0xD25cb4970c9C09975200EBf083511453a3F91BE9,26364,11
0x749Aff193D662ad6BeC9f6dAA2492d4223CfEA54,25986,12
0x4FC203b0b94016CE4dE787495F88d14827C55e75,25784,13
0x8301B3525884d848a154632c2A6a075F469DA4d3,25411,14
0x0a9fD20fc663CC9afA28699959965a2A2dc5aaE3,24293,15
0xC342B60228a044163D0972cA5536f2A9b5199d41,23993,16
0x39f4DA389fEF57165BD470Eb422c755e271F785B,23052,17
0x6B1746AfF649B1575916A7Fa0697c2a694ed8244,20224,18
0xdd6477C387708EcE5a43A643fC8d76488C55c6D7,19067,19
0xBaD941fb6C539643043854cE8e6320682A99f5E3,18195,20
0x986360f84b9e114d89b17e1945e60B5C8703CbB0,17876,21
0x6E2218f25Fd13db788DceeebfD1525270BEe96D4,16826,22
0x4d41c26e25F1826215905713c412bA9Eabcc6402,13828,23
0x0e503284945508b29091651556F82003b3c6B8CF,13189,24
0x0AaD398EFc545546c66ea14a0DA6B1e7e153F9f0,12000,25
0x93817fe33D390a49F35B940Fa8ec0D781f4C505e,11644,26
0x84AC2aCbF92Dc935E0610830810Ff341931b8749,11116,27
0xE6a19c89d6fADCc83230c4BaF0D9E33CE9b38710,10254,28
0x6A09bc42c189D047B28ce04D1eA011501a4E9Ad5,8504,29
0xe37e217d6a30d6Fb685eF9E5e435Eef748EB7eDa,8503,30
0x15C2D3a7005Ef6C266d779CB70D83dB76c32D1F9,8161,31
0x5e8e66dF40E58f3a96142aCA5329575E5f638E75,7967,32
0x110eD35e28084e3619E9F9af3e4994Fe659BD138,7807,33
0xbc5A18F05639B5814f12FBDfD0D4C4d7632e8921,7598,34
0x0A1d722d3e7C9bb09B40C1b598D1e88791896225,6903,35
0x38E96F3783d5595E6Be607dcaDefe369A8672850,6662,36
0xc7c37c802547f0A0B4Dc16c1dCb5ec19ca606116,6223,37
0x34EdeED81a89381001e320AAd5b39f4224809C3D,5642,38
0x415Dcd7c9f4954595cc5479c74f0F4c4c986df02,5590,39
0x9A182C2B2b141F43f72b3b5a282f627A0d96C5Bc,5541,40
0x309Bd9887Cc1BaE1C137e30b9C282473855eD1a6,5405,41
0x752C306b092A7AFb95cd34e73032aE458BEa00B2,5363,42
0x8D0739d9D0d49aFCF8d101416cD2759Bf8922013,5059,43
0xe78450034b19E97E42d5b14b425d6e2d4E93703F,4990,44
0x4c44a38c15086F173C3a4454658Aa48f687F4f25,4985,45
0xcbd8379f584A017840631Be74Bb8e45F6436c6Ca,4984,46
0x3a69CA32BbBec61C7214039284b8aC65a24bdf19,4984,47
0xe9fA511761f1245c7e41B9c7B0317934519d1786,4956,48
0x154D6A9Ebb7b9A1d437276C531531aE903f2F178,4853,49
0x48E61f885430dA6C5776325D1f1D1e4a77c92280,4786,50
0x8dF38138d5cda4Df15E600Cbb36ea4FC2496C90D,4745,51
0x46559eD2F42B7f5221340A7d0eD3F14F03D30732,4735,52
0xc3bB76c61De54D7E9DF0B5E864e42BAcFf43B98d,4718,53
0xAb4aF4fB0a12233A919Ac8839e93E1Ad2FeE5f72,4715,54
0xf59b8Ce8C05a64126939050e1573F8B38B49d394,4598,55
0x0Cc66319d129f887Bd1D3fe58E10400ed1025A79,4547,56
0x9B44E450FCd3DA34f9D0501D843FD145f2E2e5A2,4438,57
0xAE0a61b3a3f2A09e8322d0a34EF77D4C42F5Ad14,4420,58
0x0b4C5A2BAD8FC02C4A9A93ADfCC9f717e60971b8,4208,59
0x193f69b0024132036A160c05894dF483E39Bd0Fa,3998,60
0xAC93d9f63Ca5f54D0197403f7C64C492545A44D9,3988,61
0xb3922F8e6B872a28cf9ab048c980F6467e94C3aF,3566,62
0x83D96020B0766f567AFd2e19b5F62ef6Dd4026D5,3417,63
0xbCa0CaCe073751f9E0721745681C7137cfbD5892,3417,64
0xd88E063108c94A38Bc620C66b0B9f3FECb704E6F,3207,65
0xe38718bd1e7608F6c3Ba8d6e0823f3125Ce2D645,3129,66
0x73c27251f096C4e558E6522946f1b7eef01F8AaD,3106,67
0xeCb6ED573bd0064988e9E636E84BbEdeB5c7a01f,2924,68
0xD7AaD9788313410A5b0B606135BAc3675532516F,2892,69
0xC6BC5271DccB8b40b52a054c1b9653774A50d213,2884,70
0x916789ee1F8c522a147dd6A1Aee04165fa824482,2875,71
0x816D1638EE93692AB586d6E032efF05429e20d76,2864,72
0xC672B699cBf95AA753798e3ad64D504f980D6e89,2644,73
0x5DB2BC476a6df625766F31Fd82553bAB531eB527,2624,74
0x8879aD7BFcd29368e824Eb2A0E6F0ACaf662187C,2285,75
0x08d8DfaD93332728daB5dD355595332b6c7b02ED,2170,76
0x76717B477316f1693c121E7fFdc369a887d896bA,1830,77
0xbd68ACAe9db8DFA8aa07f2A6488CaC14e2B9bEB8,1275,78
0x1b343cf0b75eEf848Dd9dDDD5872f4247A681Ba3,1222,79
0x060d18a81D79d241192752e660e6617663271e70,1199,80
